Broker,Quantity,Type,Symbol,Period_Range,Scraped_At
57,878,Buy,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
77,492,Buy,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
34,270,Buy,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
36,204,Buy,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
10,198,Buy,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
11,181,Buy,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
4,72,Buy,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
38,68,Buy,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
6,66,Buy,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
21,49,Buy,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
40,-66,Sell,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
39,-71,Sell,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
25,-83,Sell,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
42,-93,Sell,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
47,-100,Sell,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
16,-212,Sell,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
17,-280,Sell,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
81,-400,Sell,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
48,-412,Sell,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
3,-467,Sell,ACLBSL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:40.740451
52,10838,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
44,5587,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
33,5178,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
54,5132,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
46,5084,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
32,4880,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
94,4203,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
34,3571,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
21,3393,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
35,2448,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
60,-1500,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
91,-1550,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
45,-2622,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
51,-2729,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
65,-2772,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
28,-3729,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
59,-4058,Sell,ADBL,July 13th 2026 - July 20th 2026,2026-07-20 17:15:42.635373
