Broker,Quantity,Type,Symbol,Period_Range,Scraped_At
57,878,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
77,492,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
34,270,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
36,204,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
10,198,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
11,181,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
4,72,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
38,68,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
6,66,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
21,49,Buy,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
40,-66,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
39,-71,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
25,-83,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
42,-93,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
47,-100,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
16,-212,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
17,-280,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
81,-400,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
48,-412,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
3,-467,Sell,ACLBSL,July 13th 2026 - July 21st 2026,2026-07-21 13:54:29.311351
52,10838,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:54:31.448942
44,5587,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:54:31.448942
33,5178,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:54:31.448942
54,5132,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:54:31.448942
46,5084,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:54:31.448942
32,4880,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:54:31.448942
94,4203,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:54:31.448942
34,3571,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:54:31.448942
21,3393,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:54:31.448942
35,2448,Buy,ADBL,July 13th 2026 - July 20th 2026,2026-07-21 13:54:31.448942
