Broker,Quantity,Type,Symbol,Period_Range,Scraped_At
45,682,Buy,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
77,492,Buy,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
11,206,Buy,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
57,206,Buy,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
10,201,Buy,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
42,190,Buy,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
26,109,Buy,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
36,101,Buy,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
58,97,Buy,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
13,93,Buy,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
6,-61,Sell,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
5,-63,Sell,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
46,-93,Sell,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
38,-103,Sell,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
39,-110,Sell,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
34,-116,Sell,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
16,-117,Sell,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
17,-137,Sell,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
3,-737,Sell,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
49,-792,Sell,ACLBSL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:02.729054
48,30582,Buy,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
4,24875,Buy,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
26,13165,Buy,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
77,11156,Buy,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
33,6392,Buy,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
52,6384,Buy,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
46,5950,Buy,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
44,5106,Buy,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
32,4566,Buy,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
94,4498,Buy,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
59,-4065,Sell,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
17,-4219,Sell,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
93,-4613,Sell,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
51,-4641,Sell,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
39,-5018,Sell,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
13,-6160,Sell,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
1,-7301,Sell,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
14,-12738,Sell,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
42,-13556,Sell,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
65,-25085,Sell,ADBL,July 16th 2026 - July 23rd 2026,2026-07-24 10:38:04.486613
35,2155,Buy,AHL,July 16th 2026 - July 24th 2026,2026-07-24 10:38:06.209490
81,1100,Buy,AHL,July 16th 2026 - July 24th 2026,2026-07-24 10:38:06.209490
34,1066,Buy,AHL,July 16th 2026 - July 24th 2026,2026-07-24 10:38:06.209490
5,1000,Buy,AHL,July 16th 2026 - July 24th 2026,2026-07-24 10:38:06.209490
6,930,Buy,AHL,July 16th 2026 - July 24th 2026,2026-07-24 10:38:06.209490
45,887,Buy,AHL,July 16th 2026 - July 24th 2026,2026-07-24 10:38:06.209490
60,650,Buy,AHL,July 16th 2026 - July 24th 2026,2026-07-24 10:38:06.209490
25,580,Buy,AHL,July 16th 2026 - July 24th 2026,2026-07-24 10:38:06.209490
33,562,Buy,AHL,July 16th 2026 - July 24th 2026,2026-07-24 10:38:06.209490
29,522,Buy,AHL,July 16th 2026 - July 24th 2026,2026-07-24 10:38:06.209490
44,-450,Sell,AHL,July 16th 2026 - July 24th 2026,2026-07-24 10:38:06.209490
10,-500,Sell,AHL,July 16th 2026 - July 24th 2026,2026-07-24 10:38:06.209490
13,-572,Sell,AHL,July 16th 2026 - July 24th 2026,2026-07-24 10:38:06.209490
39,-790,Sell,AHL,July 16th 2026 - July 24th 2026,2026-07-24 10:38:06.209490
57,-809,Sell,AHL,July 16th 2026 - July 24th 2026,2026-07-24 10:38:06.209490
